#     Ix      Iy          X              Y               Z
 
      -9      -2      -1.26355402E-02  -4.25642106E-03   9.41516109E-04
      -9      -1      -1.26355402E-02  -2.12821053E-03   1.15251662E-03
      -9       0      -1.26355402E-02   0.00000000E+00   1.38862095E-03
      -9       1      -1.26355402E-02   2.12821053E-03   1.38862095E-03
      -9       2      -1.26355402E-02   4.25642106E-03   1.15251662E-03
      -9       3      -1.26355402E-02   6.38463158E-03   9.41516109E-04
      -9       4      -1.26355402E-02   8.51284211E-03   7.55535846E-04
      -9       5      -1.26355402E-02   1.06410526E-02   5.94502082E-04
      -9       6      -1.26355402E-02   1.27692632E-02   4.58350904E-04
      -9       7      -1.26355402E-02   1.48974737E-02   3.47028232E-04
      -9       8      -1.26355402E-02   1.70256842E-02   2.60489818E-04
      -9       9      -1.26355402E-02   1.91538948E-02   1.98701247E-04
      -9      10      -1.26355402E-02   2.12821053E-02   2.18509878E-04
 
      -8     -10      -1.12315913E-02  -2.12821053E-02   1.69033847E-04
      -8      -9      -1.12315913E-02  -1.91538948E-02   1.81401621E-04
      -8      -8      -1.12315913E-02  -1.70256842E-02   2.18509878E-04
      -8      -7      -1.12315913E-02  -1.48974737E-02   2.80373427E-04
      -8      -6      -1.12315913E-02  -1.27692632E-02   3.67016948E-04
      -8      -5      -1.12315913E-02  -1.06410526E-02   4.78474995E-04
      -8      -4      -1.12315913E-02  -8.51284211E-03   6.14791992E-04
      -8      -3      -1.12315913E-02  -6.38463158E-03   7.76022238E-04
      -8      -2      -1.12315913E-02  -4.25642106E-03   9.62229903E-04
      -8      -1      -1.12315913E-02  -2.12821053E-03   1.17348903E-03
      -8       0      -1.12315913E-02   0.00000000E+00   1.40988353E-03
      -8       1      -1.12315913E-02   2.12821053E-03   1.40988353E-03
      -8       2      -1.12315913E-02   4.25642106E-03   1.17348903E-03
      -8       3      -1.12315913E-02   6.38463158E-03   9.62229903E-04
      -8       4      -1.12315913E-02   8.51284211E-03   7.76022238E-04
      -8       5      -1.12315913E-02   1.06410526E-02   6.14791992E-04
      -8       6      -1.12315913E-02   1.27692632E-02   4.78474995E-04
      -8       7      -1.12315913E-02   1.48974737E-02   3.67016948E-04
      -8       8      -1.12315913E-02   1.70256842E-02   2.80373427E-04
      -8       9      -1.12315913E-02   1.91538948E-02   2.18509878E-04
      -8      10      -1.12315913E-02   2.12821053E-02   2.39576139E-04
 
      -7     -10      -9.82764235E-03  -2.12821053E-02   1.90040118E-04
      -7      -9      -9.82764235E-03  -1.91538948E-02   2.02422885E-04
      -7      -8      -9.82764235E-03  -1.70256842E-02   2.39576139E-04
      -7      -7      -9.82764235E-03  -1.48974737E-02   3.01514751E-04
      -7      -6      -9.82764235E-03  -1.27692632E-02   3.88263498E-04
      -7      -5      -9.82764235E-03  -1.06410526E-02   4.99857073E-04
      -7      -4      -9.82764235E-03  -8.51284211E-03   6.36340080E-04
      -7      -3      -9.82764235E-03  -6.38463158E-03   7.97767035E-04
      -7      -2      -9.82764235E-03  -4.25642106E-03   9.84202365E-04
      -7      -1      -9.82764235E-03  -2.12821053E-03   1.19572041E-03
      -7       0      -9.82764235E-03   0.00000000E+00   1.43240542E-03
      -7       1      -9.82764235E-03   2.12821053E-03   1.43240542E-03
      -7       2      -9.82764235E-03   4.25642106E-03   1.19572041E-03
      -7       3      -9.82764235E-03   6.38463158E-03   9.84202365E-04
      -7       4      -9.82764235E-03   8.51284211E-03   7.97767035E-04
      -7       5      -9.82764235E-03   1.06410526E-02   6.36340080E-04
      -7       6      -9.82764235E-03   1.27692632E-02   4.99857073E-04
      -7       7      -9.82764235E-03   1.48974737E-02   3.88263498E-04
      -7       8      -9.82764235E-03   1.70256842E-02   3.01514751E-04
