Lattice   = `/home/shanksj/CesrTA/lat/cta_2085mev_xr20m_20091205_quad_ma10pct.lat_and_layout'
 File_name = `tunescan.in'
data_date = ` 2010-03-10 15:46:12'
 Return
 
!  Q_x0 = 0.500  Q_y0 = 0.500  Q_x1 = 0.660  Q_y1 = 0.660  Q_z = 0.000
 
!   Q_x       Q_y       Q_z      x_end       y_end      amp_x_max   amp_y_max   Turns   
   0.51200   0.63400  -0.06590  0.6484E-03  0.4502E-02    0.1526E+01  0.1050E+01      1001
   0.51200   0.63600  -0.06590  0.7557E-03  0.4687E-02    0.1532E+01  0.1048E+01      1001
   0.51200   0.63800  -0.06590  0.8390E-03  0.4715E-02    0.1514E+01  0.1048E+01      1001
   0.51200   0.64000  -0.06590  0.1392E-02 -0.5521E-03    0.1521E+01  0.1042E+01      1001
   0.51200   0.64200  -0.06590  0.1094E-02  0.4694E-02    0.1518E+01  0.1054E+01      1001
   0.51200   0.64400  -0.06590  0.1159E-02  0.4637E-02    0.1534E+01  0.1052E+01      1001
   0.51200   0.64600  -0.06590  0.1255E-02  0.4536E-02    0.1514E+01  0.1049E+01      1001
   0.51200   0.64800  -0.06590  0.1450E-02  0.4504E-02    0.1515E+01  0.1052E+01      1001
   0.51200   0.65000  -0.06590  0.1409E-02  0.4251E-02    0.1533E+01  0.1053E+01      1001
   0.51200   0.65200  -0.06590  0.1620E-02  0.4127E-02    0.1523E+01  0.1050E+01      1001
   0.51200   0.65400  -0.06590  0.1188E-02  0.3086E-02    0.1527E+01  0.1059E+01      1001
   0.51200   0.65600  -0.06590  0.1985E-02  0.4029E-02    0.1538E+01  0.1053E+01      1001
   0.51200   0.65800  -0.06590  0.1970E-02  0.3392E-02    0.1529E+01  0.1062E+01      1001
   0.51200   0.66000  -0.06590  0.1652E-02  0.1655E-02    0.1510E+01  0.1070E+01      1001
   0.51400   0.50800  -0.06590  0.4338E-02  0.2422E-02    0.1375E+01  0.1226E+01        11
   0.51400   0.51000  -0.06590  0.4303E-02  0.2052E-02    0.1369E+01  0.1271E+01        11
   0.51400   0.51200  -0.06590  0.4281E-02  0.1634E-02    0.1355E+01  0.1318E+01        11
   0.51400   0.51600  -0.06590 -0.5610E-02 -0.1023E-02    0.1484E+01  0.1501E+01        12
   0.51400   0.51800  -0.06590 -0.2834E-03  0.5460E-02    0.1478E+01  0.1735E+01        22
   0.51400   0.52000  -0.06590 -0.2296E-03  0.4788E-02    0.1468E+01  0.1697E+01        22
   0.51400   0.52200  -0.06590 -0.1388E-03  0.4092E-02    0.1458E+01  0.1654E+01        22
   0.51400   0.52400  -0.06590 -0.1933E-04  0.3366E-02    0.1449E+01  0.1596E+01        22
   0.51400   0.52600  -0.06590  0.1957E-03  0.1813E-03    0.1441E+01  0.1636E+01        24
   0.51400   0.52800  -0.06590  0.4559E-02  0.2583E-02    0.1493E+01  0.1557E+01      1001
   0.51400   0.53000  -0.06590  0.5954E-03  0.1970E-02    0.1574E+01  0.1403E+01      1001
   0.51400   0.53200  -0.06590 -0.8046E-02  0.1926E-02    0.2660E+01  0.1638E+01      1001
   0.51400   0.53400  -0.06590 -0.3911E-02 -0.2756E-02    0.2115E+01  0.1372E+01      1001
   0.51400   0.53600  -0.06590 -0.7218E-02  0.3636E-02    0.2653E+01  0.1497E+01      1001
   0.51400   0.53800  -0.06590  0.6242E-02  0.3124E-02    0.2427E+01  0.1240E+01      1001
   0.51400   0.54000  -0.06590 -0.4080E-02 -0.1037E-02    0.2352E+01  0.1241E+01      1001
   0.51400   0.54200  -0.06590 -0.4800E-02  0.8287E-03    0.2358E+01  0.1137E+01      1001
   0.51400   0.54400  -0.06590 -0.4353E-02 -0.3087E-02    0.2344E+01  0.1234E+01      1001
   0.51400   0.54600  -0.06590  0.5909E-02 -0.1370E-02    0.2403E+01  0.1298E+01      1001
   0.51400   0.54800  -0.06590  0.7335E-03  0.3976E-02    0.2250E+01  0.1117E+01      1001
   0.51400   0.55000  -0.06590 -0.2996E-02 -0.2730E-02    0.2444E+01  0.1130E+01      1001
   0.51400   0.55200  -0.06590 -0.2719E-02 -0.7577E-03    0.2281E+01  0.1097E+01      1001
   0.51400   0.55400  -0.06590 -0.5717E-02 -0.1065E-02    0.2324E+01  0.1061E+01      1001
   0.51400   0.55600  -0.06590 -0.2553E-02 -0.2405E-02    0.2240E+01  0.1073E+01      1001
   0.51400   0.55800  -0.06590 -0.3935E-02  0.1275E-03    0.2269E+01  0.1065E+01      1001
   0.51400   0.56000  -0.06590  0.6006E-02  0.3736E-02    0.2282E+01  0.1432E+01      1001
   0.51400   0.56200  -0.06590 -0.1966E-02  0.1756E-02    0.2244E+01  0.1210E+01      1001
   0.51400   0.56400  -0.06590  0.4899E-02  0.3989E-02    0.2405E+01  0.1181E+01      1001
   0.51400   0.56600  -0.06590 -0.3257E-02  0.2300E-02    0.2266E+01  0.1165E+01      1001
   0.51400   0.56800  -0.06590 -0.4091E-02  0.4494E-02    0.2337E+01  0.1135E+01      1001
   0.51400   0.57000  -0.06590 -0.2833E-02  0.4639E-02    0.2296E+01  0.1109E+01      1001
   0.51400   0.57200  -0.06590 -0.2968E-02  0.4571E-02    0.2304E+01  0.1099E+01      1001
   0.51400   0.57400  -0.06590 -0.3060E-02  0.4635E-02    0.2259E+01  0.1092E+01      1001
   0.51400   0.57600  -0.06590 -0.3044E-02  0.3683E-02    0.2271E+01  0.1089E+01      1001
   0.51400   0.57800  -0.06590 -0.3327E-02  0.4204E-02    0.2250E+01  0.1099E+01      1001
   0.51400   0.58000  -0.06590 -0.2921E-02  0.3611E-02    0.2278E+01  0.1082E+01      1001
   0.51400   0.58200  -0.06590 -0.3184E-02  0.3035E-02    0.2219E+01  0.1088E+01      1001
   0.51400   0.58400  -0.06590 -0.3584E-02  0.3849E-02    0.2284E+01  0.1075E+01      1001
   0.51400   0.58600  -0.06590 -0.3230E-02  0.3008E-02    0.2267E+01  0.1075E+01      1001
   0.51400   0.58800  -0.06590 -0.3270E-02  0.2447E-02    0.2257E+01  0.1076E+01      1001
   0.51400   0.59000  -0.06590 -0.3491E-02  0.1688E-02    0.2258E+01  0.1076E+01      1001
   0.51400   0.59200  -0.06590 -0.3663E-02 -0.4288E-02    0.2298E+01  0.1100E+01      1001
   0.51400   0.59400  -0.06590 -0.3131E-02  0.1424E-02    0.2273E+01  0.1084E+01      1001
   0.51400   0.59600  -0.06590 -0.3307E-02  0.2488E-02    0.2231E+01  0.1069E+01      1001
   0.51400   0.59800  -0.06590 -0.3470E-02  0.1424E-02    0.2237E+01  0.1069E+01      1001
   0.51400   0.60000  -0.06590 -0.3381E-02  0.4968E-03    0.2222E+01  0.1082E+01      1001
   0.51400   0.60200  -0.06590 -0.3644E-02 -0.4945E-04    0.2235E+01  0.1078E+01      1001
   0.51400   0.60400  -0.06590 -0.3428E-02 -0.7350E-03    0.2215E+01  0.1072E+01      1001
   0.51400   0.60600  -0.06590 -0.3574E-02 -0.1685E-02    0.2225E+01  0.1067E+01      1001
   0.51400   0.60800  -0.06590 -0.3580E-02 -0.2025E-02    0.2230E+01  0.1080E+01      1001
   0.51400   0.61000  -0.06590 -0.3090E-02 -0.2894E-02    0.2246E+01  0.1080E+01      1001
   0.51400   0.61200  -0.06590 -0.3684E-02 -0.1461E-02    0.2221E+01  0.1071E+01      1001
   0.51400   0.61400  -0.06590 -0.3566E-02 -0.1555E-02    0.2214E+01  0.1063E+01      1001
   0.51400   0.61600  -0.06590 -0.3734E-02  0.4651E-02    0.2211E+01  0.1036E+01      1001
   0.51400   0.61800  -0.06590 -0.5738E-02  0.2547E-02    0.2297E+01  0.1079E+01      1001
   0.51400   0.62000  -0.06590 -0.3483E-02 -0.4615E-02    0.2183E+01  0.1086E+01      1001
   0.51400   0.62200  -0.06590 -0.3591E-02 -0.4615E-02    0.2239E+01  0.1074E+01      1001
   0.51400   0.62400  -0.06590 -0.3560E-02 -0.3051E-02    0.2194E+01  0.1069E+01      1001
   0.51400   0.62600  -0.06590 -0.3118E-02 -0.4633E-02    0.2213E+01  0.1094E+01      1001
   0.51400   0.62800  -0.06590 -0.3542E-02 -0.4755E-02    0.2216E+01  0.1087E+01      1001
   0.51400   0.63000  -0.06590 -0.3577E-02 -0.4671E-02    0.2218E+01  0.1077E+01      1001
   0.51400   0.63200  -0.06590 -0.3533E-02 -0.4492E-02    0.2229E+01  0.1083E+01      1001
   0.51400   0.63400  -0.06590 -0.3329E-02 -0.4366E-02    0.2199E+01  0.1088E+01      1001
   0.51400   0.63600  -0.06590 -0.3653E-02 -0.4477E-02    0.2218E+01  0.1085E+01      1001
   0.51400   0.63800  -0.06590 -0.3661E-02 -0.4020E-02    0.2210E+01  0.1079E+01      1001
   0.51400   0.64000  -0.06590 -0.3754E-02  0.1517E-02    0.2237E+01  0.1140E+01      1001
   0.51400   0.64200  -0.06590 -0.3685E-02 -0.3587E-02    0.2220E+01  0.1082E+01      1001
   0.51400   0.64400  -0.06590 -0.3700E-02 -0.3159E-02    0.2197E+01  0.1090E+01      1001
   0.51400   0.64600  -0.06590 -0.3851E-02 -0.3006E-02    0.2207E+01  0.1094E+01      1001
   0.51400   0.64800  -0.06590 -0.3811E-02 -0.2480E-02    0.2189E+01  0.1083E+01      1001
   0.51400   0.65000  -0.06590 -0.3725E-02 -0.3102E-02    0.2170E+01  0.1078E+01      1001
   0.51400   0.65200  -0.06590 -0.3773E-02 -0.4309E-03    0.2197E+01  0.1095E+01      1001
   0.51400   0.65400  -0.06590 -0.3924E-02 -0.8995E-03    0.2166E+01  0.1086E+01      1001
   0.51400   0.65600  -0.06590 -0.4031E-02  0.1238E-02    0.2204E+01  0.1102E+01      1001
   0.51400   0.65800  -0.06590 -0.4322E-02  0.9936E-03    0.2166E+01  0.1102E+01      1001
   0.51400   0.66000  -0.06590 -0.4112E-02  0.2531E-02    0.2185E+01  0.1111E+01      1001
   0.51600   0.50800  -0.06590  0.3928E-02  0.2312E-02    0.1407E+01  0.1222E+01        11
   0.51600   0.51000  -0.06590  0.3892E-02  0.1940E-02    0.1404E+01  0.1263E+01        11
   0.51600   0.51200  -0.06590  0.3861E-02  0.1527E-02    0.1400E+01  0.1300E+01        11
   0.51600   0.51400  -0.06590 -0.5301E-02 -0.1524E-02    0.1530E+01  0.1448E+01        12
   0.51600   0.51800  -0.06590  0.1517E-02  0.5621E-02    0.1463E+01  0.1758E+01        22
   0.51600   0.52000  -0.06590  0.1500E-02  0.4918E-02    0.1469E+01  0.1722E+01        22
   0.51600   0.52200  -0.06590  0.1549E-02  0.4201E-02    0.1462E+01  0.1675E+01        22
   0.51600   0.52400  -0.06590  0.1637E-02  0.3459E-02    0.1454E+01  0.1612E+01        22
   0.51600   0.52600  -0.06590  0.1940E-02  0.2503E-03    0.1446E+01  0.1638E+01        24
   0.51600   0.52800  -0.06590  0.3238E-02 -0.9948E-03    0.1841E+01  0.1617E+01       175
   0.51600   0.53000  -0.06590 -0.2717E-02  0.3561E-02    0.1655E+01  0.1538E+01      1001
   0.51600   0.53200  -0.06590 -0.5264E-02  0.8238E-03    0.1537E+01  0.1255E+01      1001
   0.51600   0.53400  -0.06590  0.5510E-02  0.1407E-02    0.1813E+01  0.1173E+01      1001
   0.51600   0.53600  -0.06590  0.3578E-02  0.3358E-02    0.1488E+01  0.1176E+01      1001
   0.51600   0.53800  -0.06590  0.4819E-02 -0.2501E-02    0.1495E+01  0.1147E+01      1001
   0.51600   0.54000  -0.06590  0.3210E-02 -0.7228E-03    0.1455E+01  0.1097E+01      1001
   0.51600   0.54200  -0.06590  0.1830E-02 -0.3435E-02    0.1521E+01  0.1111E+01      1001
   0.51600   0.54400  -0.06590  0.4940E-02 -0.3972E-02    0.1586E+01  0.1373E+01      1001
   0.51600   0.54600  -0.06590  0.1415E-02 -0.7047E-03    0.1514E+01  0.1168E+01      1001
   0.51600   0.54800  -0.06590  0.4067E-02 -0.3549E-02    0.1657E+01  0.1059E+01      1001
   0.51600   0.55000  -0.06590 -0.1786E-02  0.2887E-02    0.1510E+01  0.1066E+01      1001
   0.51600   0.55200  -0.06590 -0.7323E-03  0.4291E-02    0.1534E+01  0.1050E+01      1001
   0.51600   0.55400  -0.06590 -0.3525E-03  0.4472E-02    0.1504E+01  0.1050E+01      1001
   0.51600   0.55600  -0.06590 -0.3966E-03  0.4551E-02    0.1503E+01  0.1048E+01      1001
   0.51600   0.55800  -0.06590 -0.1500E-02  0.4620E-02    0.1508E+01  0.1052E+01      1001
   0.51600   0.56000  -0.06590 -0.4095E-02 -0.4978E-02    0.1566E+01  0.1414E+01      1001
   0.51600   0.56200  -0.06590 -0.5591E-02  0.1485E-02    0.1592E+01  0.1236E+01      1001
   0.51600   0.56400  -0.06590  0.4800E-02  0.4316E-02    0.1511E+01  0.1159E+01      1001
   0.51600   0.56600  -0.06590  0.4390E-02  0.3093E-02    0.1508E+01  0.1122E+01      1001
   0.51600   0.56800  -0.06590  0.2722E-02  0.3130E-03    0.1503E+01  0.1105E+01      1001
   0.51600   0.57000  -0.06590  0.1852E-02 -0.7996E-03    0.1497E+01  0.1075E+01      1001
   0.51600   0.57200  -0.06590  0.1402E-02 -0.1099E-02    0.1503E+01  0.1084E+01      1001
   0.51600   0.57400  -0.06590  0.8983E-03 -0.1223E-02    0.1496E+01  0.1074E+01      1001
   0.51600   0.57600  -0.06590 -0.6648E-03  0.2695E-02    0.1524E+01  0.1091E+01      1001
   0.51600   0.57800  -0.06590  0.1868E-03 -0.1574E-02    0.1467E+01  0.1058E+01      1001
   0.51600   0.58000  -0.06590  0.7387E-03  0.6128E-03    0.1492E+01  0.1072E+01      1001
   0.51600   0.58200  -0.06590  0.1294E-02  0.1950E-02    0.1481E+01  0.1070E+01      1001
   0.51600   0.58400  -0.06590  0.3015E-03  0.9370E-03    0.1489E+01  0.1067E+01      1001
   0.51600   0.58600  -0.06590  0.2825E-03  0.1444E-02    0.1487E+01  0.1060E+01      1001
   0.51600   0.58800  -0.06590  0.5412E-04  0.1878E-02    0.1485E+01  0.1063E+01      1001
   0.51600   0.59000  -0.06590  0.1154E-04  0.2470E-02    0.1497E+01  0.1057E+01      1001
   0.51600   0.59200  -0.06590 -0.1671E-04  0.3667E-02    0.1478E+01  0.1055E+01      1001
   0.51600   0.59400  -0.06590 -0.1082E-02 -0.2721E-02    0.1482E+01  0.1053E+01      1001
   0.51600   0.59600  -0.06590 -0.1048E-02  0.1089E-02    0.1493E+01  0.1057E+01      1001
   0.51600   0.59800  -0.06590 -0.1030E-02  0.1858E-02    0.1489E+01  0.1053E+01      1001
   0.51600   0.60000  -0.06590 -0.1002E-02  0.3300E-02    0.1488E+01  0.1050E+01      1001
   0.51600   0.60200  -0.06590 -0.9900E-03  0.3369E-02    0.1493E+01  0.1046E+01      1001
   0.51600   0.60400  -0.06590 -0.1110E-02  0.3598E-02    0.1496E+01  0.1050E+01      1001
